username,target
@Prathamheree,@Pinkimusicoffi1
@Hellsquad_82,@ukraineupdates_
@Hellsquad_82,@lapatina_
@Hellsquad_82,@AlArabiya_Eng
@Hellsquad_82,@GuiltyPutin
@Hellsquad_82,@LakotaMan1
@Hellsquad_82,@sentdefender
@Hellsquad_82,@nexta_tv
@Hellsquad_82,@nichvydycia
@Hellsquad_82,@KB_Dirtbag
@TweetByBobiWine,@Emmyton5
@atulit17,@EU_Commission
@Channel54News,@gladyswanga
@Hellsquad_82,@Siddique_rafat_
@Hellsquad_82,@tedlieu
@TweetByBobiWine,@ItsMutai
@Hellsquad_82,@Biz_Ukraine_Mag
@super_Rajputt,@asila_esther
@kipvista,@azertyt25415518
@MaosaPhilip,@MaosaPhilip
@muraitc,@BBCWorld
@Rishabhji51,@KremlinRussia_E
@kipvista,@RMAera__
@FEGdUp,@gladstein
@Oko_ngo,@F_M_Networks
@super_Rajputt,@LilibethJaquez
@rizz13classics,@vonderleyen
@abhinavrajkumar,@BorisJohnson
@Afraha_icon,@
@Mswahili_ke,@clad254
@TheEMambo,@ItsMutai
@Siasa_2022,@POTUS
@ED_C137,@LilibethJaquez
@AvinashGha95,@vaibhavUP65
@Nickk_254,@vonderleyen
@kai_wavey,@victoriaalxndr
@dape_fan333,@garyvee
@serlinglaw,@Damilare_arah
@VipulBipul,@leentamimi2
@Eve_lynKE,@_natashamoha
@AssalifD,@jeffpropulsion
@beatambutei,@johnnjenga
@moruribrian,@Mbesha94s1
@40d8f6b7ab4045d,@BBCAfrica
@favored_stevens,@OKanzio
@DaveKengabi,@Arrow_Dental
@srtalak,@KyivIndependent
@TeDeTouro,@AlanRMacLeod
@ItsMayakah,@IlhanMN
@deca_poda,@AlanRMacLeod
@teefy,@CBSNews
@Namte10,@McFaul
@the_kijiji,@ParadigmSlip
@NewsComWorld,@MEAIndia
@Michlifen9,@Brayson53233089
@DeniseB928,@k
@lakemasterz,@lakemasterz
@Alhaaji01,@AlanRMacLeod
@Bharat4Justice,@EU_Commission
@Mercy_Cherlotte,@Migiro16
@Mercy_Cherlotte,@angrysugar4
@Mercy_Cherlotte,@TaubHistory
@Mercy_Cherlotte,@MeidasTouch
@lionel_vikey,@Julius_S_Malema
@benKEofficial,@spectatorindex
@JustNPoetic2,@Spotify
@MeekAssgood23,@oakborn
@_teds1,@ItsMutai
@NzangiMuoki,@ItsMutai
@254_hitler,@ZelenskyyUa
@LKononden,@KremlinRussia
@KhalifCliff,@NICKIMINAJ
@Kibonge254,@garyhgoodridge
@UoWont,@stephhegarty
@ABELAKINSEYE2,@abikedabiri
@Infinite_echoes,@arwaib
@Infinite_echoes,@visecs
@TurbineJetRC,@Perri_Striker
@itscheru,@stiwari1510
@TheDuskyDawn,@RT_com
@VVenkyVV,@InnaSovsun
@RobertAlai,@vonderleyen
@Wambua_LR,@dude_flawless
@CIaudevandame,@poland
@HardTruth6,@Telegraph
@KevlonK,@ItsMutai
@NjanakeMwangi,@whiotv
@UncleObama_,@NIAbbot
@ChMUmair,@nh90778548
@Oulouloujsuisla,@Adimbola
@RobertAlai,@taibalitaib
@VeerleSchollen,@vonderleyen
@trustmeimhot,@Ukraine
@UncleObama_,@0Calamity
@UncleObama_,@AntiRacismDay
@AberraDaddii,@MayorofLondon
@AAOjetimi,@ItsMutai
@felly_slimdddy,@lapatina_
@felly_slimdddy,@AlinurMohamed_
@Felicity1998R,@BBC
@AssalifD,@euronews
@shashi_ranjan77,@ShekharGupta
@Pauline15677887,@ww3updatez
@ZunderCadabra,@TheEconomist
@ibadull29888620,@ItsMutai
@opiyo_Sml,@RobertAlai
@opiyo_Sml,@ItsMutai
@DrMuange,@ItsMutai
@opiyo_Sml,@RobertAlai
@ansari0294,@NATO
@kevinmairura,@AfricaFactsZone
@angrysugar4,@BenjaminRamm
@angrysugar4,@Nattybongo57
@KeroreLemiso,@AfricaFactsZone
@hillarymitei21,@ItsMutai
@LordJustineRop,@ItsMutai
@phylmario,@johnallannamu
@KassimRama5,@RobertAlai
@ScorpionPlan,@irvinmigue
@ScorpionPlan,@FicoGutierrez
@segenmsemere,@Refugees
@segenmsemere,@FilippoGrandi
@ginalovell545,@annelovell743
@ginalovell545,@TRUTHTIMEPLS
@ginalovell545,@haringeycouncil
@tenstrops,@RBC
@tenstrops,@BMO
@tenstrops,@cibc
@tenstrops,@TD_Canada
@shuxands7567898,@AutismLife19yrs
@shuxands7567898,@lapatina_
@herbtvet,@TheView
@herbtvet,@abby_roque
@herbtvet,@USWNT
@Coffeephile30,@mfa_russia
@Coffeephile30,@KremlinRussia_E
@Coffeephile30,@RusEmbUSA
@Coffeephile30,@RussianEmbassy
@Coffeephile30,@RusBotschaft @mission_russian
@Coffeephile30,@RussiaUN
@Coffeephile30,@RusBotWien
@Coffeephile30,@FranceEnRussie
@Coffeephile30,@RussianEmbassyC @RF_OSCE
@UncleObama_,@lbc
@UncleObama_,@cnn
@UncleObama_,@AlJazeera_World
@UncleObama_,@Voldamortpott
@UncleObama_,@1313wad
@UncleObama_,@MirrorPolitics
@UncleObama_,@1313wad
@UncleObama_,@LBC
@UncleObama_,@NickFerrariLBC
@UncleObama_,@LBC
@UncleObama_,@NickFerrariLBC
@UncleObama_,@HackneyAbbott
@UncleObama_,@SheilaBurgoyne1
@UncleObama_,@Keir_Starmer
@MagnificoDeeJay,@vonderleyen
@MagnificoDeeJay,@antoniocostapm
@wagagaikoko,@vonderleyen
@wagagaikoko,@NATO
@wagagaikoko,@10DowningStreet
@wagagaikoko,@BorisJohnson
@ViassyPool,@RepAOC
@ViassyPool,@HouseForeign
@ViassyPool,@Ilhan
@ViassyPool,@donlemon
@ViassyPool,@AOC
@ViassyPool,@Ilhan
@ShaneduBarrie1,@BorisJohnson
@ShaneduBarrie2,@Keir_Starmer
@ShaneduBarrie3,@EdwardJDavey
@WtxNews,@yvonneridley
@WtxNews,@Bahabris
@WtxNews,@Jeggit
@LeaderlessOne,@Spartakus737
@LeaderlessOne,@apxforkyiv
